product_id,name,category,unit_price
yfba-081,ngxh,mchju,75.4
yemg-941,uflj,hwgbi,63.0
gahz-754,ascy,xsihd,67.2
ondk-317,bqmi,xsihd,23.6
rpit-739,tebp,icmld,42.7
erba-759,wpzt,zfwvh,70.0
ifyg-785,kjix,jpkqz,63.5
irfj-956,uidb,evmpg,58.5
irtg-921,pecy,xydpw,69.6
onxl-827,wfqb,gkqel,14.1
xsad-573,mfle,zoslb,79.6
sfoa-674,sfpv,tkpeu,55.9
cpbg-261,ktim,guzvp,7.9
ctqu-587,qhvj,tcoul,97.7
euit-480,zvje,iycqb,86.5
psbj-237,potd,dgwfp,5.1
jocb-702,qtmx,clgzv,18.7
giuq-894,hrqe,yihwf,15.2
qpug-542,zlfg,nfgqb,7.6
smvw-364,bsyr,dtqfg,30.7
gsax-871,wtji,okfru,59.6
cmsd-351,sjpv,hwgbi,67.5
gsdz-852,ejmq,bejdx,88.0
shbv-396,chny,iycqb,18.8
pvlo-217,lfwo,lrfzv,29.9
iesx-409,wjhx,guzvp,38.0
pcxs-870,lfji,tkpeu,3.2
bwsv-584,mwkc,xozpb,7.5
jazu-712,mbag,jymis,19.0
wunc-890,dfyq,wqxpg,18.2
hvuq-403,rbwe,evmpg,52.4
asqm-357,dbwe,pluro,67.6
uvjd-046,zpgw,tdjeb,63.0
hzrs-513,rvih,uhzbx,7.3
xelo-623,oqkl,wgnea,82.9
drfa-960,tfxa,yjbgz,3.2
ygol-239,ljuo,fylpk,98.4
olrf-193,pegk,bpryc,82.4
qdje-573,crpl,iwypa,56.5
rfei-128,bivq,zoslb,97.5
wisk-128,kgnv,zoslb,3.7
sjue-463,gojl,okfru,85.8
aksp-207,xfdt,uokyc,5.9
othw-241,csjb,fswuy,7.9
ockb-534,vdpw,yihwf,35.0
uewq-035,nxdp,lthxj,89.4
txdu-908,otlw,cozxq,85.8
jgyk-957,rbjz,qfboj,72.2
soah-386,qvah,dtvyx,21.5
xkfc-629,efry,lthxj,84.0
eizd-342,rzqp,pluro,17.4
esjx-620,dlmq,thweu,55.6
yxgh-079,ladn,zdmxe,23.8
bxzr-150,zles,yfdpt,4.8
pufs-894,drne,zrtbg,91.5
sxui-246,zijb,hwgbi,99.7
twqd-675,oanb,yihwf,19.1
lmnt-520,zody,xozpb,62.6
ykew-293,czte,hrotv,79.7
cyiw-961,bkrj,whkes,7.2
rtsu-783,ydha,hlsfb,15.7
imyh-904,chum,obchs,92.4
exhw-947,mctq,cfvta,14.6
ydhm-568,swbq,hwgbi,77.4
djav-803,pmej,eourc,86.1
jwho-896,ihef,bejdx,40.8
ybvd-510,nlxz,npxuf,97.5
dbre-563,mlof,heiqv,98.4
qyda-065,hzjf,heiqv,0.5
nxpe-521,kvie,guzvp,5.2
taso-162,xwsy,ezjlq,40.1
hucv-310,bikc,khiua,92.7
wbcr-140,nlzh,rnhda,84.7
ncei-946,aizv,hqygn,19.9
egns-745,flpe,mxuet,27.4
rdin-120,vowq,ioepv,32.0
gchx-961,dfha,yjbgz,31.5
kgjd-857,lyev,iycqb,89.0
qwtc-248,tdjw,eiyoq,98.9
dwqa-316,jhnu,xydpw,44.6
hpsj-513,ateq,kcbtf,61.0
jawo-257,tqob,bfgdp,72.3
tcfy-508,nqfy,xozpb,76.0
uqhb-057,gmcz,zwgsc,97.7
wgra-051,igtm,tuboz,9.2
dyku-896,upoi,ewtzi,5.5
xaoc-298,yizq,zvkup,14.5
kpnr-250,dzau,ticzb,79.5
ymxf-450,hklc,rvzwd,53.8
jocy-961,wdjp,bweim,48.0
yohg-201,jqvs,prhlt,16.2
mvqu-053,klas,drthf,61.7
xlqb-983,bztm,dtqfg,16.5
aquy-048,najz,bfgdp,58.5
gtdf-234,ptmz,nfgqb,28.6
pmcb-839,saxo,uhzbx,62.7
zidp-901,gsrz,xnwbc,75.0
dgwh-213,qxlk,adomn,17.5
lrzp-094,byfc,sthjx,25.9
zwti-829,ezhp,vumzr,29.8
fmin-807,dqyi,bkwdy,37.7
fzqg-576,kqxu,dtvyx,97.8
dxpk-081,tjlq,uswdq,76.3
jeid-128,jkrx,ticzb,28.6
bnqx-710,biar,ezjlq,70.8
ypmq-219,epgn,xjqnd,79.3
dzsw-216,nkjz,nbsxa,78.4
jhsn-504,bvcz,qjabo,62.6
ejzp-309,gtfb,khiua,40.6
ltay-749,wfbx,ewtzi,97.0
uacp-768,cbrh,rxqnp,74.7
roab-985,njsa,hrydq,4.2
xcaw-296,gtyh,bpsxt,71.8
nhgv-861,wbru,qwnid,34.6
osdf-712,hnst,rvzwd,95.6
tjci-859,psfz,hfbwv,67.6
tzfw-546,zxja,ypjrn,77.5
dfva-592,kgts,bpryc,35.0
bspz-235,pgmf,hlsfb,22.2
gdvn-035,iajr,obchs,20.0
hxjp-520,rcpy,zfwvh,16.0
dwxq-810,csjo,cyzik,93.4
kaxz-540,xpkc,kcbtf,86.6
uyfc-402,vkai,iwypa,51.1
txoz-576,nrky,guzvp,61.5
hmsy-698,iyga,gfqdw,95.4
wnby-294,vofd,iwypa,31.7
geid-015,bnyp,adomn,98.3
vxum-321,sqtu,kuzwm,71.6
dxpm-582,uqwn,bpryc,70.4
vkui-614,bocj,tjvdc,99.0
coyb-523,ifwg,evmpg,49.2
vixp-857,ygnh,eourc,55.2
xcrn-268,kegu,iycqb,42.2
lrop-452,tfuh,iubza,18.5
qpsv-185,rlpt,djysg,40.0
dicv-437,dlbx,aitkb,42.7
emus-124,bcdp,tyizu,99.8
eclm-759,wgon,eourc,95.1
uvat-948,iqpy,hjtdr,6.1
esvu-530,bhlv,ewtzi,90.5
nzyp-394,buwk,jymis,23.4
lguw-081,trno,kempo,42.9
phbr-421,xucv,cfvta,75.3
jkhc-712,wgou,bejdx,49.0
snfp-491,ytop,bfgdp,37.1
elkg-527,zqvk,mchju,29.2
wurm-412,rsia,bkpmw,49.4
oiua-526,xklv,hlsfb,19.4
nwvj-198,eujt,eourc,20.4
opim-706,aqvx,heiqv,56.1
agtk-231,iwbs,iycqb,42.2
ncdx-489,rgof,pegjl,62.2
agry-452,dxvn,xydpw,17.9
nepv-453,gtyn,iycqb,72.6
dkfq-694,edti,zfwvh,7.1
jbvw-042,zwfj,ezjlq,47.7
gtah-508,kicd,wtmru,86.9
xswd-728,xgzo,gzdvf,97.7
ixwq-954,ymtc,wtmru,93.3
pjkn-675,rxoa,pegjl,42.2
duco-734,juqd,pegjl,9.7
xsvg-425,hvjg,yjugc,32.6
ewfh-836,nsji,uebij,81.2
tqux-172,cdhq,dtqfg,1.7
tyib-621,rbef,kvwyu,45.9
dmtr-194,qjlo,qjabo,76.2
myfh-780,jrmz,rnhda,9.7
kmlh-432,mykx,qxuoh,86.9
tmlw-157,rmdf,sdzqn,68.8
bkno-985,opdk,xsihd,81.8
bgzs-028,ktsa,mwjpz,1.2
vqnd-561,wmsl,mxuet,15.6
eopf-389,apen,lzanb,89.7
keju-327,lxte,dbyxl,75.8
rhlf-012,ouzl,wgnea,43.8
lsnu-872,npgh,gfqdw,99.8
ztmn-825,oscl,kpvdz,78.0
lqxm-093,livf,videj,81.6
ojlc-534,khzl,sdzqn,94.5
vynm-520,olyu,tsmik,74.1
olif-093,gbzh,iwypa,79.9
xift-948,ftop,qfboj,94.7
lsen-643,rtnv,cegow,33.9
izha-207,dugc,fylpk,0.9
bduk-173,iusm,hwgbi,9.6
etbu-271,qpea,dgwfp,6.3
xefv-189,qztu,ewtzi,47.0
gynz-856,dglw,lrvdq,11.7
uvwl-379,kjyr,bfgdp,99.4
mduy-389,psxd,mbznj,72.8
zdlm-501,npuj,mitfv,28.2
eanj-915,wxmk,mchju,38.3
ydhg-783,fuvw,lrvdq,10.2
gdbc-420,qimw,wtfcr,89.4
stri-830,xesi,quajo,8.5
eszl-764,xadn,ermku,88.4
weic-645,jtbk,iyklo,99.4
vbtn-971,rivm,jymis,9.5
cjwi-174,qmdu,jmser,95.3
bptz-193,cfjl,prhlt,98.2
ulza-039,lgvp,jpkqz,99.5
rfuw-154,nxjt,kvwyu,34.0
ikbr-480,icvu,videj,46.1
mcvo-179,isjg,drthf,61.2
kzst-497,bref,mlpzd,31.8
zxic-038,yfto,hlsfb,20.3
sipl-521,rgcn,heiqv,21.4
ctam-137,ubxl,qjabo,17.4
mxgq-689,wkge,vumzr,17.0
dilz-261,qvjb,wafmk,48.5
njrs-731,lasw,hjtdr,18.2
ebpo-607,rlct,hjtdr,79.3
chpn-495,yvjs,mlwqf,35.8
rpqw-073,lkiq,tdjeb,67.9
fwsy-314,fmvb,cegow,60.2
arwo-698,raxb,pegjl,72.6
iroq-329,dsyl,fswuy,28.1
rvyb-413,jhwy,xvfti,20.5
bejw-869,xjnh,heiqv,75.0
qkbc-794,eavf,iubza,71.6
jkoa-506,qndz,zaesq,46.6
hsew-423,qdey,rovcu,2.5
xzpu-749,vokm,sthjx,54.0
ktsf-360,fxug,cfvta,67.3
jrfh-936,lnxk,ewtzi,99.9
jbas-173,wphz,iycqb,42.0
cqlp-958,rimw,bfgdp,37.0
wzbi-590,ykux,nzmub,22.1
fzvu-037,mrkv,hwido,23.4
dmha-648,jlat,drthf,89.6
qpcu-298,vbgp,dgwfp,12.9
iegz-603,owcu,dtqfg,12.9
fosr-172,eqos,adomn,74.8
bpit-526,ardq,kuzwm,62.9
adus-109,ioye,clgzv,21.0
rqvk-542,hpyi,zaesq,82.9
keft-712,csme,cfvta,1.9
rhaz-593,pmwx,iylhx,65.2
dbyz-714,cryh,mitfv,71.3
fpmy-371,ueqt,uswdq,24.3
clfp-530,oqth,wtmru,35.0
cbqf-528,syih,tsmik,1.7
xlhz-184,jskw,wqxpg,21.5
vzbi-506,zyhb,tcoul,37.2
tdbp-785,cegk,fylpk,54.0
vanr-802,plgr,clgzv,54.7
ywon-960,ptky,xozpb,20.7
clif-783,xtgr,heiqv,59.5
tqek-213,cxfh,bfgdp,3.4
ucds-920,plix,qfboj,36.7
tzvj-124,bjty,tjvdc,33.0
jhxa-056,cnbp,ghdlx,79.1
lqes-035,usfw,xozpb,43.8
pnur-435,bwgk,yjugc,19.1
coep-019,kivp,nfgqb,21.9
zytv-590,agkt,uswdq,58.3
mtkr-032,ecqy,pluro,50.6
omcb-549,spiw,ioepv,13.6
ghiq-103,gxyk,qwnid,48.1
rbcv-127,ljdb,heiqv,72.8
xmen-106,yaev,dtqfg,39.1
enfk-351,gsmw,xydpw,15.0
wkqb-524,uvae,qfboj,88.6
amrl-385,badv,xrsnl,1.2
ckun-097,bcez,kvwyu,82.4
jrnb-695,pzmy,hqygn,28.2
yawp-178,ygcr,ealtz,42.4
vbao-286,taxn,dtqfg,67.8
bwki-198,npwq,hrotv,77.1
prkf-045,qeir,djysg,56.5
ovak-721,aljc,thweu,39.7
husk-430,jhwp,jmser,62.9
yunc-278,ezfq,kuzwm,93.0
oijm-165,mcbl,xsihd,44.8
zpdh-052,wgnr,rvzwd,48.4
rdkw-310,imvc,kuzwm,49.2
ofzd-025,eorx,gfqdw,1.6
mwac-045,endz,wqxpg,99.0
nult-432,qduj,lthxj,96.2
lnzq-298,aubv,quajo,68.1
pxrd-625,ckfb,ermku,23.0
mdxa-290,pjwk,hwgbi,94.0
xkqe-968,bwck,mlwqf,13.6
hgqv-835,hrxk,dbyxl,45.1
ytgi-869,gxos,hrydq,69.8
jvba-731,swup,cnfbu,54.7
tocx-608,oeuq,qfboj,95.0
zfkm-576,uhtq,xozpb,30.3
zedr-357,kayu,lrvdq,83.6
wbnz-470,qtoa,icmld,31.7
ethf-690,wpcl,rxqnp,98.7
pojx-958,zmbh,bkwdy,82.7
gxhj-261,jgsx,pluro,16.5
dfcp-703,xjtq,ermku,92.2
gexy-928,igow,wafmk,73.3
ljiv-260,zcsk,ticzb,76.2
hmeu-162,kqlr,xrsnl,20.1
xsqf-086,aozx,cfvta,0.2
rfwl-963,bhug,sdzqn,66.7
kvxr-872,peyo,hjtdr,85.5
voaq-485,byav,obchs,90.0
udgp-651,pqsn,xnwbc,59.2
gvdh-216,hovj,mqlsv,10.8
esvq-286,xnaj,tyizu,55.6
njkm-752,urlm,xozpb,72.3
ofsl-598,nwfo,mitfv,71.6
ikhd-063,igqz,mxuet,23.7
ypcr-512,lvxp,wqxpg,12.0
bgvr-238,pitc,mlpzd,87.1
prwy-752,kwmb,uhzbx,48.5
nrvi-213,bgmw,yfdpt,55.7
hcvo-260,exgd,aitkb,67.4
hfjx-651,ustn,yjbgz,83.5
zfbg-029,xylp,zaesq,1.2
luqt-607,fsvl,nfgqb,55.3
taif-432,iasp,iwypa,89.8
thgi-362,mjoy,whkes,97.3
acpv-571,flia,iycqb,6.2
giad-372,wgsa,hfbwv,89.9
gmin-052,thlz,iycqb,36.0
hlpn-912,ckot,hrydq,53.5
jdyr-217,kwzy,mwjpz,29.9
ylug-279,ivqe,evmpg,24.0
qzhj-301,fygw,ypehk,31.8
nupt-279,vnbg,iycqb,34.4
xzwb-243,gxpj,bfgdp,95.2
mspz-308,kvoj,xpvbs,38.6
cpjw-405,pnoc,divrx,26.2
dfyt-926,pgdf,xlpzr,41.1
akxo-623,plhu,ealtz,48.4
yxuz-256,wvmy,zaesq,0.8
lvoq-324,tsij,zdmxe,23.9
rkej-395,jsqg,cyzik,99.5
eacw-734,wbna,ermku,90.4
anvb-157,uhwt,eqfxv,14.2
chgf-075,qgoh,xnwbc,59.7
zakw-809,jxhs,ypehk,66.5
vfpn-023,dzuk,pysuw,16.4
mnac-637,qewa,pegjl,17.9
yxwa-096,fcup,guzvp,88.2
wjyt-024,ictn,uswdq,44.4
uzmy-285,zqxb,gzdvf,68.0
rswk-305,tupc,cnfbu,60.2
kiqj-703,eigw,ezjlq,64.4
xiqn-347,unyh,dtqfg,17.0
iwpg-162,eizb,vduaj,6.0
tekm-938,zmrh,zfwvh,18.4
nalz-125,sumf,quajo,66.5
iuop-754,qznd,eqfxv,28.4
